,uuid,category
0,e7fd8dc8-f579-49bf-96ef-93f292bcd676,Restaurants
1,456724ce-4f57-408b-8647-93f980da15b9,Shopping
2,7f1ba62a-82cd-493b-87a2-a99bfd4a88e3,Nightlife
3,ec5efd7d-9e94-4e0a-9f6d-82bcda7330a0,Active Life
4,e8383bd9-2611-4228-8698-935c7fad1dc3,Automotive
5,6f7b5893-c75e-416b-b7dd-2b20bee00a7a,Beauty & Spas
6,658425ea-d8fc-4d2a-bee2-6a34094b2dbf,Home Services
7,cacaed65-c110-4412-8c95-f3d0b800d669,Coffee & Tea
8,7b955faa-c8c5-4d30-8239-3516628a48f8,Food
9,660feb4a-1808-425d-a830-537f247384f9,Arts & Entertainment
10,e4956ce7-b6b8-4da2-8504-30b7b6f45532,Health & Medical
11,e38483b6-4704-4b41-b8df-916e5eeb4412,Professional Services
12,1fe504f4-71fe-4225-8071-32bc8da21e05,Pets
13,164a75ff-60f5-45cf-ab9f-43650c29512f,Real Estate
14,41e81e2d-4ba4-472d-a3b1-78d2eaa35497,Hotels
15,d6ab7a29-5ec9-4b1b-9662-93f1e6d88e10,Travel & Tours
16,862177b4-6b50-4d37-b6f7-606134195d47,Local Services
17,2a12f25d-25c7-4cc1-860c-616d68cb2ed1,Event Planning & Services
18,5b2048b5-ae49-456e-8c84-ef3c7b1ee3e2,Public Services & Government
19,4b0d070f-8fc2-4162-aa1a-b7a5b98f3729,Financial Services
20,e7a82c2f-7479-4867-b1b5-6e3a320a32b5,Education
21,ab1ac18e-9c87-4451-b522-e2881c37e283,Local Flavor
22,74f3110e-1c28-4e98-938c-33877e139064,Religious Organizations
23,611de36b-e37d-4083-a7c8-898461ec3996,Mass Media
